Date,Open,High,Low,Close,Volume
12/31/2018,52.55,52.64,51.18,51.78,29874440
12/28/2018,52.48,52.78,51.66,51.85,28275440
12/27/2018,50.86,52.19,49.85,52.19,42195540
12/26/2018,49.45,52,49.15,51.97,47465400
12/24/2018,48.7,50.18,48.51,48.81,31806560
12/21/2018,50.77,51.2,48.68,48.98,91917820
12/20/2018,50.91,51.71,49.82,50.47,53469280
12/19/2018,51.7,53.1,50.4,51.15,49586760
12/18/2018,51.3,52.47,51.07,51.44,43850660
12/17/2018,51.88,52.66,50.4,50.83,47707280
12/14/2018,52.5,53.13,52.04,52.11,33732380
12/13/2018,53.4,53.99,52.7,53.1,26595360
12-12-2018,53.4,54.08,53.14,53.18,30476080
12-11-2018,52.82,53.03,51.99,52.59,27894620
12-10-2018,51.75,52.42,51.16,51.98,36154500
12-07-2018,53,53.76,51.43,51.83,42024120
12-06-2018,51.71,53.56,51.54,53.44,55384500
12-04-2018,55.16,55.22,52.5,52.54,46903320
12-03-2018,56.16,56.23,55.18,55.32,39815160
11/30/2018,54.45,54.78,53.89,54.72,51612240
11/29/2018,53.8,54.71,53.8,54.42,29377180
11/28/2018,52.44,54.34,51.79,54.31,49508380
11/27/2018,52.05,52.88,51.92,52.22,36063280
11/26/2018,51.92,52.47,51.7,52.43,38856440
11/23/2018,51.5,51.88,51.12,51.19,13829240
11/21/2018,51.84,52.43,51.67,51.88,30685480
11/20/2018,50,51.59,49.8,51.29,48982600
11/19/2018,52.86,53.04,50.81,51,37172280
11/16/2018,52.97,53.35,52.45,53.07,33162320
11/15/2018,52.24,53.59,51.59,53.24,36721680
11/14/2018,52.5,52.73,51.55,52.18,31318900
11/13/2018,52.16,52.83,51.56,51.8,30274040
11-12-2018,53.07,53.11,51.55,51.93,29435160
11-09-2018,53.7,53.78,52.66,53.31,26866260
11-08-2018,54.57,54.66,53.61,54.12,29763640
11-07-2018,53.45,54.77,53.3,54.67,41167120
11-06-2018,51.97,53.22,51.9,52.79,24666120
11-05-2018,52.75,52.92,51.06,52,48828600
11-02-2018,53.69,54.15,52.73,52.89,36780860
11-01-2018,53.79,54.2,53.12,53.5,29639580
10/31/2018,52.99,54.6,52.85,53.84,50595360
10/30/2018,50.42,51.87,50.04,51.81,64253140
10/29/2018,54.12,54.85,49.79,51,77614460
10/26/2018,51.85,55.33,51.7,53.57,83751720
10/25/2018,53.59,55.55,53.48,54.78,50916780
10/24/2018,55.21,55.31,52.44,52.54,39648600
10/23/2018,54.04,55.39,53.5,55.18,36973080
10/22/2018,55.15,55.61,54.55,55.06,30284400
10/19/2018,54.67,55.52,54.39,54.82,25352980
10/18/2018,56.09,56.09,53.85,54.4,41890480
10/17/2018,56.32,56.45,55.11,55.78,29344520
10/16/2018,55.23,56.21,55.13,56.06,38570800
10/15/2018,55.45,55.67,54.45,54.61,27447860
10-12-2018,55.4,55.75,54.32,55.5,42026060
10-11-2018,53.65,55.32,53.41,53.97,59002400
10-10-2018,56.55,56.61,54.06,54.06,53514840
10-09-2018,57.31,57.72,56.88,56.94,26175280
10-08-2018,57.51,58.4,56.37,57.45,38647100
10-05-2018,58.38,58.68,57.26,57.87,23689040
10-04-2018,59.77,59.88,57.78,58.41,44189800
10-03-2018,60.25,60.32,59.69,60.15,25124280
10-02-2018,59.55,60.5,59.33,60.01,33758280
10-01-2018,59.99,60.5,59.52,59.77,27152080
09/28/2018,59.59,59.77,59.23,59.67,27612580
09/27/2018,59.34,60.11,59.18,59.73,25215080
09/26/2018,59.26,59.71,58.74,59.02,29245060
09/25/2018,58.81,59.34,58.4,59.23,19554620
09/24/2018,57.86,58.9,57.35,58.67,25420340
09/21/2018,59.6,59.61,58.3,58.3,88111680
09/20/2018,59,59.49,58.67,59.34,24507740
09/19/2018,58.25,58.66,57.73,58.55,23827720
09/18/2018,57.85,58.8,57.85,58.06,24073720
09/17/2018,58.51,58.86,57.7,57.8,26130440
09/14/2018,58.96,59.02,58.42,58.63,18879560
09/13/2018,58.54,58.93,58.14,58.77,28624280
09-12-2018,58.64,58.93,57.92,58.14,25909440
09-11-2018,58.08,58.93,57.81,58.87,24191300
09-10-2018,58.61,58.73,58.01,58.23,22315920
09-07-2018,57.93,58.76,57.86,58.24,28028080
09-06-2018,59.32,59.32,57.6,58.57,37769340
09-05-2018,59.69,59.95,58.1,59.32,41226180
09-04-2018,60.21,60.65,59.63,59.85,36620900
08/31/2018,61.75,61.93,60.56,60.91,36328520
